topic_id	status	target	title	source_units	audit_status	notes
DBI-MODEL-01	complete	database-system-mental-model.md	데이터베이스는 SQL을 받아 어떤 내부 시스템들로 나누어 처리하는가?	database/query.md;database/collation.md;database/placeholder.md;database/prepared_statements.md;database/quote_and_escape.md;database/deep-dive/foundations/01-database-mental-model.md;database/deep-dive/foundations/02-relational-model-and-sql.md;database/deep-dive/foundations/03-sql-semantics-types-null-collation.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	논리 모델, SQL 의미, 타입, NULL, collation, placeholder/prepared statement를 하나의 mental model로 재구성한다.
DBI-STORAGE-01	complete	storage-pages-buffer-io.md	테이블의 row는 왜 page, buffer pool, checkpoint, fsync를 거쳐 저장되는가?	database/deep-dive/storage-index-optimizer/04-storage-files-pages-rows.md;database/deep-dive/storage-index-optimizer/05-buffer-pool-cache-io.md;database/deep-dive/storage-index-optimizer/06-wal-undo-redo-recovery.md;database/mysql/information.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	저장 구조와 버퍼링을 복구 문서와 중복하지 않게 설명한다.
DBI-LOG-01	complete	wal-redo-undo-crash-recovery-pitr.md	WAL, redo, undo, crash recovery, PITR은 각각 무엇의 로그인가?	database/mvcc.md;database/replication.md;database/deep-dive/storage-index-optimizer/06-wal-undo-redo-recovery.md;database/deep-dive/reliability-distribution/15-replication-backup-recovery.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	첫 파일럿에서 complete 문서로 승격한다. 전체 corpus 완료 전까지는 whole complete 증거로 쓰지 않는다.
DBI-INDEX-01	complete	index-query-optimizer.md	인덱스와 실행 계획은 왜 같은 쿼리의 성능을 전혀 다르게 만드는가?	database/join.md;database/query.md;database/mysql/explains/when_join.md;database/mysql/order.md;database/deep-dive/storage-index-optimizer/07-index-structures.md;database/deep-dive/storage-index-optimizer/08-query-execution-operators.md;database/deep-dive/storage-index-optimizer/09-optimizer-statistics-explain.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	B+tree를 외우는 문서가 아니라 access path, filter, sort, join, statistics의 조합으로 설명한다.
DBI-SCHEMA-01	complete	schema-constraints-migration.md	스키마와 제약, 마이그레이션은 왜 애플리케이션 계약 변경인가?	database/db_diff.md;database/examples/db_diff/README.md;database/migration/flyway/flyway.md;database/mysql/problems/mysql5_online_large_indexing.md;database/deep-dive/schema-migration-ops/10-schema-design-constraints.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	정규화/반정규화, key/constraint, online DDL, Flyway, diff 검증을 통합한다.
DBI-TXN-01	complete	transaction-acid-boundary.md	트랜잭션은 코드 블록이 아니라 어떤 원자적 경계인가?	database/mvcc.md;database/deep-dive/transactions/11-transaction-lifecycle-acid.md;jvm/spring/spring_transactional.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	autocommit, savepoint, ACID, application invariant를 transaction boundary 중심으로 설명한다.
DBI-MVCC-01	complete	mvcc-snapshot-visibility.md	MVCC는 lock-free가 아니라 어떤 버전 가시성 계약인가?	database/mvcc.md;database/deep-dive/transactions/12-mvcc-snapshot-visibility.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	PostgreSQL tuple/xid/vacuum과 InnoDB read view/undo/purge 경계를 분리한다.
DBI-LOCK-01	complete	isolation-lock-deadlock.md	격리 수준, lock, deadlock은 같은 동시성 문제를 어떻게 다르게 막는가?	database/lock.md;database/postgresql/lock.md;database/deep-dive/transactions/13-isolation-anomalies.md;database/deep-dive/transactions/14-locks-latches-deadlocks.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	SQL isolation 현상, row/gap/next-key/predicate lock, latch와 deadlock retry를 다룬다.
DBI-REPL-01	complete	replication-lag-backup-failover.md	복제 지연과 백업, failover는 왜 같은 고가용성 답변으로 뭉치면 안 되는가?	database/replication.md;database/replication_lag.md;database/deep-dive/reliability-distribution/15-replication-backup-recovery.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	복제, lag, read-after-write, backup/PITR, failover의 소비자와 실패 모드를 분리한다.
DBI-DIST-01	complete	partition-sharding-distributed-sql.md	파티셔닝, 샤딩, 분산 SQL은 각각 무엇을 나누고 무엇을 더 어렵게 만드는가?	database/newsql.md;database/deep-dive/reliability-distribution/16-partitioning-sharding-distribution.md;database/deep-dive/search-nosql-newsql/28-newsql-distributed-sql.md;interviews/database-storage-search-nosql.md;interviews/distributed-systems-architecture.md	claim-and-composition-audited	partition pruning, manual split, sharding, consensus, global transaction tradeoff를 묶는다.
DBI-ENGINE-01	complete	mysql-postgresql-engine-deep-dive.md	MySQL/InnoDB와 PostgreSQL은 같은 SQL 뒤에서 어떤 저장/동시성 모델이 다른가?	database/mysql/*;database/postgresql/*;database/deep-dive/mysql/17-mysql-innodb-deep-dive.md;database/deep-dive/postgresql/18-postgresql-deep-dive.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	DBMS별 경계가 핵심인 비교 문서로 작성한다.
DBI-APP-01	complete	application-boundaries-idempotency-money-outbox.md	애플리케이션의 transaction boundary, idempotency, money model, outbox는 왜 DB 지식의 일부인가?	database/deep-dive/application-boundaries/19-application-boundaries.md;database/deep-dive/application-boundaries/20-idempotency-duplicate-request.md;database/deep-dive/application-boundaries/21-money-calculation.md;database/deep-dive/application-boundaries/22-financial-transaction-scenarios.md;database/deep-dive/reliability-distribution/23-outbox-saga-2pc.md;jvm/spring/spring_transactional.md	claim-and-composition-audited	면접 실무 질문으로 자주 이어지는 application/data consistency 경계를 다룬다.
DBI-OPS-01	complete	operations-security-troubleshooting.md	느린 쿼리, lock wait, 복제 지연, 권한 문제는 어떻게 관측하고 안전하게 좁혀 가는가?	database/deep-dive/operations/24-operations-observability-troubleshooting.md;database/deep-dive/security-governance/25-security-access-control.md;database/mysql/information.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	운영 관측과 보안 경계를 통합하되 민감 정보는 본문에 노출하지 않는다.
DBI-SEARCH-01	complete	search-document-nosql-engine.md	검색 엔진과 document NoSQL은 RDB 인덱스/트랜잭션과 어떤 다른 계약을 가지는가?	database/elasticsearch/mapping.md;database/elasticsearch/paginate.md;database/elasticsearch/queries/queries.md;database/elasticsearch/queries/range.md;database/elasticsearch/response.md;database/elasticsearch/update.md;database/opensearch/queries.md;database/firebase/firebase_model.md;database/firebase/firebase_price.md;database/firebase/firestore.md;database/firebase/firestore_sharded_timestamps.md;database/deep-dive/search-nosql-newsql/26-search-engine-internals.md;database/deep-dive/search-nosql-newsql/27-document-nosql-modeling.md;interviews/database-storage-search-nosql.md	claim-and-composition-audited	Elasticsearch/OpenSearch, Firestore를 RDB 대체제가 아니라 다른 저장/조회 계약으로 설명한다.
