section_id	target_path	section_title	section_thesis	supporting_claim_ids	bridge_claim_ids	rejected_or_narrowed_claim_ids	large_unit_risk	counterexample_check	missing_context_check	final_disposition	repair_action
DBI-MODEL-01-S01	01-database-system-mental-model.md	2-5분 개요	면접 첫 답변이 본문의 실제 논증을 압축한다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-MODEL-01-S02	01-database-system-mental-model.md	먼저 잡아야 할 작은 모델	추상 개념을 대표 상태 변화 trace로 고정한다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-MODEL-01-S03	01-database-system-mental-model.md	깊은 메커니즘	source claim을 내부 상태 변화와 실패 모드로 재구성한다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-MODEL-01-S04	01-database-system-mental-model.md	DBMS별 경계	공통 목적과 제품별 구현 차이를 섞지 않는다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-MODEL-01-S05	01-database-system-mental-model.md	직접 재생해 보기	검증 가능한 관측 경로와 PASS/FAIL 신호를 남긴다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-MODEL-01-S06	01-database-system-mental-model.md	면접 꼬리 질문	짧은 답변 뒤 깊게 내려갈 질문을 준비한다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-MODEL-01-S07	01-database-system-mental-model.md	함정 질문	부분적으로 맞지만 전체 설명을 망치는 shortcut을 막는다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-MODEL-01-S08	01-database-system-mental-model.md	더 깊게 볼 자료	공식 source와 repo source를 분리해 추적 가능하게 한다.	DBI-MODEL-01-C01;DBI-MODEL-01-C02	DBI-MODEL-01-C03		SQL interface를 곧바로 물리 파일 접근으로 오해해 parser, planner, executor, buffer, log, lock 계층을 지우는 위험	SELECT/INSERT 하나가 parser에서 executor와 storage까지 내려가는 trace가 없으면 mental model이 깨진다.	논리 모델, 물리 저장, 동시성, 복구를 한 문서에서 계층별로 연결해야 한다.	APPLY	DBI-MODEL-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-STORAGE-01-S01	02-storage-pages-buffer-io.md	2-5분 개요	면접 첫 답변이 본문의 실제 논증을 압축한다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
DBI-STORAGE-01-S02	02-storage-pages-buffer-io.md	먼저 잡아야 할 작은 모델	추상 개념을 대표 상태 변화 trace로 고정한다.	DBI-STORAGE-01-C01;DBI-STORAGE-01-C02	DBI-STORAGE-01-C03		page, buffer pool, fsync, checkpoint를 단순 저장소 캐시로만 합쳐 commit durability와 dirty page flush 시점을 혼동하는 위험	commit 직후 data page가 아직 flush되지 않은 crash 상황을 설명하지 못하면 실패다.	page 단위, dirty page, durable log, checkpoint의 소비자를 분리해야 한다.	APPLY	DBI-STORAGE-01 본문은 short overview, small model, mechanism, DBMS boundary, replay, tail/trap 질문이 이 risk를 반복하지 않도록 topic-specific audit로 재검수한다.
