id	local_seed	official_sources	lab_or_observability	preservation_disposition	source_status	notes
DU01	database/query.md; database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/tutorial-concepts.html; https://dev.mysql.com/doc/refman/8.4/en/what-is-mysql.html	labs/foundations/du01-file-vs-db; check: concurrent update + crash recovery thought experiment	expand	verified	registry:repo:database/query.md;source:vendor-overview
DU02	database/query.md; database/**/*.md	https://www.postgresql.org/docs/current/sql-select.html; https://www.postgresql.org/docs/current/using-explain.html	labs/foundations/du02-logical-vs-physical-select; EXPLAIN SELECT trace	expand	verified	registry:repo:database/**/*.md;source:vendor-architecture
DU03	database/join.md	https://www.postgresql.org/docs/current/tutorial-table.html; https://www.postgresql.org/docs/current/queries-table-expressions.html	labs/foundations/du03-relation-key-bag; SELECT duplicate/key examples	expand	verified	registry:repo:database/join.md;source:sql-standard-or-vendor
DU04	database/query.md	https://www.postgresql.org/docs/current/sql-select.html	labs/foundations/du04-select-logical-order; SELECT alias fail/pass examples	expand	verified	registry:repo:database/query.md;source:postgresql-select
DU05	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/functions-comparison.html; https://dev.mysql.com/doc/refman/8.4/en/comparison-operators.html	labs/foundations/du05-null-3vl; SELECT truth-table and NOT IN cases	expand	verified	registry:source:postgresql-comparison;source:mysql-comparison
DU06	database/collation.md; database/mysql/types/mysql_varchar.md	https://dev.mysql.com/doc/refman/8.4/en/charset.html; https://dev.mysql.com/doc/refman/8.4/en/charset-collation.html	labs/foundations/du06-collation-comparison; SHOW COLLATION and ORDER BY examples	merge	verified	registry:repo:database/collation.md;repo:database/mysql/types/mysql_varchar.md;source:mysql-charset-collation
DU07	database/placeholder.md; database/prepared_statements.md; database/quote_and_escape.md	https://docs.oracle.com/en/java/javase/21/docs/api/java.sql/java/sql/PreparedStatement.html; https://dev.mysql.com/doc/refman/8.4/en/sql-prepared-statements.html	labs/foundations/du07-placeholder-binding; SELECT parameter trace and injection contrast	merge	verified	registry:repo:database/placeholder.md;repo:database/prepared_statements.md;repo:database/quote_and_escape.md;source:jdbc-or-vendor
DU08	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/storage-page-layout.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-physical-structure.html	labs/storage-index-optimizer/du08-page-row-map; SELECT pg_column_size / page layout sketch	expand	verified	registry:source:postgresql-storage;source:mysql-innodb-storage
DU09	database/mvcc.md	https://www.postgresql.org/docs/current/routine-vacuuming.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-multi-versioning.html	labs/storage-index-optimizer/du09-heap-cluster-vacuum; SELECT pg_stat_all_tables and history-list observation	merge	verified	registry:repo:database/mvcc.md;source:postgresql-vacuum;source:mysql-purge
DU10	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/runtime-config-resource.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-buffer-pool.html	labs/storage-index-optimizer/du10-buffer-pool-cache; SHOW ENGINE INNODB STATUS / pg_buffercache observation	expand	verified	registry:source:mysql-buffer-pool;source:postgresql-buffer
DU11	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/runtime-config-wal.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-checkpoints.html	labs/storage-index-optimizer/du11-fsync-checkpoint; metric: checkpoint/write latency timeline	expand	verified	registry:source:postgresql-wal-config;source:mysql-flush-checkpoint
DU12	database/mvcc.md; database/replication.md	https://www.postgresql.org/docs/current/wal-intro.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-redo-log.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-undo-logs.html	labs/storage-index-optimizer/du12-wal-undo-redo; crash trace and SELECT-after-recovery scenario	merge	verified	registry:repo:database/mvcc.md;repo:database/replication.md;source:postgresql-wal;source:mysql-redo-undo
DU13	database/replication.md	https://www.postgresql.org/docs/current/continuous-archiving.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-recovery.html	labs/storage-index-optimizer/du13-crash-pitr; check: base backup + WAL/binlog target timeline	expand	verified	registry:source:postgresql-continuous-archiving;source:mysql-recovery
DU14	database/mysql/order.md	https://www.postgresql.org/docs/current/indexes.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-index-types.html	labs/storage-index-optimizer/du14-btree-split; SELECT range/order and page split ASCII trace	expand	verified	registry:source:postgresql-indexes;source:mysql-innodb-index
DU15	database/mysql/order.md	https://www.postgresql.org/docs/current/indexes-types.html; https://dev.mysql.com/doc/refman/8.4/en/mysql-indexes.html	labs/storage-index-optimizer/du15-composite-covering; EXPLAIN composite index cases	merge	verified	registry:repo:database/mysql/order.md;source:postgresql-index-types;source:mysql-indexes
DU16	database/elasticsearch/*	https://www.postgresql.org/docs/current/indexes-types.html; https://www.elastic.co/docs/manage-data/data-store/index-basics	labs/storage-index-optimizer/du16-index-family-compare; SELECT vs search inverted-index trace	merge	verified	registry:repo:database/elasticsearch/*;source:postgresql-index-types;source:elasticsearch-indexing
DU17	database/query.md	https://www.postgresql.org/docs/current/using-explain.html	labs/storage-index-optimizer/du17-operators; EXPLAIN scan/filter/sort/aggregate examples	expand	verified	registry:repo:database/query.md;source:postgresql-explain
DU18	database/join.md; database/mysql/explains/when_join.md	https://www.postgresql.org/docs/current/planner-optimizer.html; https://www.postgresql.org/docs/current/using-explain.html	labs/storage-index-optimizer/du18-join-algorithms; EXPLAIN nested loop/hash/merge join	merge	verified	registry:repo:database/join.md;repo:database/mysql/explains/when_join.md;source:postgresql-planner
DU19	database/elasticsearch/paginate.md	https://www.postgresql.org/docs/current/queries-with.html; https://www.postgresql.org/docs/current/tutorial-window.html	labs/storage-index-optimizer/du19-subquery-window-pagination; SELECT OFFSET/keyset/window examples	merge	verified	registry:repo:database/elasticsearch/paginate.md;source:postgresql-queries
DU20	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/planner-stats.html; https://dev.mysql.com/doc/refman/8.4/en/optimizer-statistics.html	labs/storage-index-optimizer/du20-statistics-cardinality; EXPLAIN estimated rows vs distribution	expand	verified	registry:source:postgresql-statistics;source:mysql-optimizer-statistics
DU21	database/mysql/explains/when_join.md	https://www.postgresql.org/docs/current/using-explain.html; https://dev.mysql.com/doc/refman/8.4/en/explain-output.html	labs/storage-index-optimizer/du21-explain-analyze; EXPLAIN ANALYZE and MySQL EXPLAIN examples	merge	verified	registry:repo:database/mysql/explains/when_join.md;source:postgresql-explain;source:mysql-explain
DU22	database/mysql/explains/when_join.md	https://www.postgresql.org/docs/current/using-explain.html; https://dev.mysql.com/doc/refman/8.4/en/slow-query-log.html	labs/storage-index-optimizer/du22-slow-query-regression; log: slow query + plan regression checklist	expand	verified	registry:source:postgresql-explain;source:mysql-slow-query
DU23	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/ddl-constraints.html; https://dev.mysql.com/doc/refman/8.4/en/create-table-foreign-keys.html	labs/schema-migration-ops/du23-constraints-normalization; SELECT constraint violation examples	expand	verified	registry:source:postgresql-constraints;source:mysql-constraints
DU24	database/db_diff.md; database/examples/db_diff/*; database/migration/flyway/flyway.md	https://dev.mysql.com/doc/refman/8.4/en/innodb-online-ddl-operations.html; https://documentation.red-gate.com/fd/flyway-documentation-138346877.html	labs/schema-migration-ops/du24-online-ddl-flyway; check: schema diff and migration timeline	merge	verified	registry:repo:database/db_diff.md;repo:database/examples/db_diff/*;repo:database/migration/flyway/flyway.md;source:mysql-online-ddl
DU25	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/tutorial-transactions.html; https://dev.mysql.com/doc/refman/8.4/en/commit.html	labs/transactions/du25-transfer-acid; BEGIN/COMMIT/ROLLBACK/SAVEPOINT SQL trace	expand	verified	registry:source:postgresql-transactions;source:mysql-commit
DU26	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/ddl-constraints.html; https://dev.mysql.com/doc/refman/8.4/en/constraint-invalid-data.html	labs/transactions/du26-domain-invariant; SELECT/check constraint and app invariant examples	expand	verified	registry:source:postgresql-constraints;source:mysql-constraints
DU27	database/mvcc.md	https://www.postgresql.org/docs/current/mvcc.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-multi-versioning.html	labs/transactions/du27-mvcc-origin; two-session read/write timeline	merge	verified	registry:repo:database/mvcc.md;source:postgresql-mvcc;source:mysql-innodb-mvcc
DU28	database/mvcc.md	https://www.postgresql.org/docs/current/mvcc.html; https://www.postgresql.org/docs/current/routine-vacuuming.html	labs/transactions/du28-postgres-visibility; SELECT xmin/xmax and pg_stat_activity snapshot	merge	verified	registry:repo:database/mvcc.md;source:postgresql-mvcc;source:postgresql-vacuum
DU29	database/mvcc.md	https://dev.mysql.com/doc/refman/8.4/en/innodb-consistent-read.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-undo-logs.html	labs/transactions/du29-innodb-read-view; SHOW ENGINE INNODB STATUS / undo chain sketch	merge	verified	registry:repo:database/mvcc.md;source:mysql-consistent-read;source:mysql-undo-logs
DU30	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/transaction-iso.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-transaction-isolation-levels.html	labs/transactions/du30-isolation-anomalies; two-session schedule table	expand	verified	registry:source:postgresql-isolation;source:mysql-isolation
DU31	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/transaction-iso.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-transaction-isolation-levels.html	labs/transactions/du31-pg-vs-innodb-isolation; PostgreSQL/MySQL two-session comparison	expand	verified	registry:source:postgresql-isolation;source:mysql-isolation
DU32	database/lock.md; database/postgresql/lock.md	https://www.postgresql.org/docs/current/explicit-locking.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-locking.html	labs/transactions/du32-lock-latch-gap; SELECT pg_locks / SHOW ENGINE INNODB STATUS	merge	verified	registry:repo:database/lock.md;repo:database/postgresql/lock.md;source:postgresql-locking;source:mysql-innodb-locking
DU33	database/lock.md	https://www.postgresql.org/docs/current/explicit-locking.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-deadlocks.html	labs/transactions/du33-deadlock-wait-graph; two-session deadlock reproduction	expand	verified	registry:source:postgresql-locking;source:mysql-deadlock
DU34	database/replication.md; database/replication_lag.md	https://www.postgresql.org/docs/current/warm-standby.html; https://dev.mysql.com/doc/refman/8.4/en/replication.html	labs/reliability-distribution/du34-replication-lag; metric: replica replay lag timeline	merge	verified	registry:repo:database/replication.md;repo:database/replication_lag.md;source:postgresql-replication;source:mysql-replication
DU35	database/replication.md	https://www.postgresql.org/docs/current/backup.html; https://dev.mysql.com/doc/refman/8.4/en/backup-and-recovery.html	labs/reliability-distribution/du35-backup-pitr-failover; check: restore drill matrix	expand	verified	registry:source:postgresql-backup;source:mysql-backup
DU36	database/database-deep-study-plan.md	https://www.postgresql.org/docs/current/ddl-partitioning.html; https://dev.mysql.com/doc/refman/8.4/en/partitioning.html	labs/reliability-distribution/du36-partition-pruning; EXPLAIN partition pruning examples	expand	verified	registry:source:postgresql-partitioning;source:mysql-partitioning
DU37	database/newsql.md	https://www.cockroachlabs.com/docs/stable/architecture/overview; https://docs.pingcap.com/tidb/stable/tidb-architecture	labs/reliability-distribution/du37-sharding-resharding; check: shard key and global transaction timeline	merge	verified	registry:repo:database/newsql.md;source:vendor-distributed-sql
DU38	database/mysql/*	https://dev.mysql.com/doc/refman/8.4/en/innodb-architecture.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-buffer-pool.html	labs/mysql/du38-innodb-architecture; SHOW ENGINE INNODB STATUS architecture anchors	merge	verified	registry:repo:database/mysql/*;source:mysql-innodb-architecture
DU39	database/mysql/problems/mysql5_online_large_indexing.md	https://dev.mysql.com/doc/refman/8.4/en/innodb-locking.html; https://dev.mysql.com/doc/refman/8.4/en/innodb-online-ddl-operations.html	labs/mysql/du39-innodb-locking-online-ddl; SHOW PROCESSLIST / metadata lock checklist	merge	verified	registry:repo:database/mysql/problems/mysql5_online_large_indexing.md;source:mysql-innodb-locking;source:mysql-online-ddl
DU40	database/mvcc.md; database/postgresql/*	https://www.postgresql.org/docs/current/mvcc.html; https://www.postgresql.org/docs/current/routine-vacuuming.html	labs/postgresql/du40-heap-tuple-vacuum; SELECT xmin/xmax and vacuum observation	merge	verified	registry:repo:database/mvcc.md;repo:database/postgresql/*;source:postgresql-mvcc
DU41	database/postgresql/introspection.log	https://www.postgresql.org/docs/current/planner-optimizer.html; https://www.postgresql.org/docs/current/wal-intro.html; https://www.postgresql.org/docs/current/monitoring.html	labs/postgresql/du41-planner-lock-wal-replication; SELECT pg_stat_activity / pg_locks / EXPLAIN	merge	verified	registry:repo:database/postgresql/introspection.log;source:postgresql-planner;source:postgresql-wal
DU42	database/database-deep-study-plan.md	https://docs.oracle.com/en/java/javase/21/docs/api/java.sql/java/sql/Connection.html; https://docs.spring.io/spring-framework/reference/data-access/transaction.html	labs/application-boundaries/du42-connection-session-pool; check: transaction owner and pool state trace	expand	verified	registry:source:jdbc;source:spring-transactions
DU43	jvm/spring/spring_transactional.md	https://docs.spring.io/spring-framework/reference/data-access/transaction/declarative.html; https://docs.spring.io/spring-framework/reference/data-access/transaction/declarative/rolling-back.html	labs/application-boundaries/du43-spring-transaction-boundary; test: proxy/self-invocation/rollback examples	merge	verified	registry:repo:jvm/spring/spring_transactional.md;source:spring-transactions
DU44	knowledge/cards/K-IDEMPOTENT-EXECUTION-WINNER-ELECTION-REPLAY.md	https://www.rfc-editor.org/rfc/rfc9110; https://datatracker.ietf.org/doc/draft-ietf-httpapi-idempotency-key-header/	labs/application-boundaries/du44-idempotency-key; SELECT winner election and replay trace	merge	verified	registry:repo:knowledge/cards/K-IDEMPOTENT-EXECUTION-WINNER-ELECTION-REPLAY.md;source:http-idempotency
DU45	math/*; domains/payment/*	https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/math/BigDecimal.html; https://docs.oracle.com/en/java/javase/21/docs/api/java.base/java/math/RoundingMode.html	labs/application-boundaries/du45-money-calculation; test: BigDecimal scale/rounding/allocation cases	merge	verified	registry:repo:math/*;repo:domains/payment/*;source:java-bigdecimal
DU46	domains/payment/*; domains/firmbanking/*	https://docs.stripe.com/payments/payment-intents; https://docs.stripe.com/api/balance_transactions	labs/application-boundaries/du46-ledger-balance-state-machine; SELECT ledger vs balance reconciliation trace	merge	verified	registry:repo:domains/payment/*;repo:domains/firmbanking/*
DU47	domains/payment/*; domains/firmbanking/*	https://docs.stripe.com/stripe-reports; https://docs.stripe.com/disputes	labs/application-boundaries/du47-timeout-unknown-reconciliation; log: unknown-state recovery and settlement checklist	merge	verified	registry:repo:domains/payment/*;repo:domains/firmbanking/*
DU48	knowledge/cards/K-ASYNC-EVENTS-OUTBOX-INBOX-CLAIM-LEASE.md	https://docs.spring.io/spring-framework/reference/data-access/transaction.html; https://jakarta.ee/specifications/transactions/	labs/reliability-distribution/du48-outbox-saga-2pc; SELECT outbox claim/publish/inbox replay	merge	verified	registry:repo:knowledge/cards/K-ASYNC-EVENTS-OUTBOX-INBOX-CLAIM-LEASE.md;source:spring-transactions
