id	target	section	min_chars	source_requirement	teaching_spine	required_trap
DU01	foundations/01-database-mental-model.md	DB는 어떤 문제를 해결하는 시스템인가	20000	repo:database/query.md;source:vendor-overview	파일 하나를 안전하게 여러 사람이 바꾸는 문제에서 출발해 DB가 저장, 질의, 동시성, 복구를 한 몸으로 묶는 이유를 설명한다.	파일 저장소와 DB를 같은 것으로 보고 동시성/복구 책임을 놓치는 함정
DU02	foundations/01-database-mental-model.md	논리 모델과 물리 실행 모델을 분리해 읽기	20000	repo:database/**/*.md;source:vendor-architecture	SQL 결과라는 논리 세계와 page/index/log라는 물리 세계가 어떻게 서로 대응하지만 같은 것은 아닌지 작은 SELECT trace로 설명한다.	논리 처리 순서를 실제 실행 순서로 착각하는 함정
DU03	foundations/02-relational-model-and-sql.md	관계 모델, tuple, relation, key, set/bag semantics	20000	repo:database/join.md;source:sql-standard-or-vendor	표 한 줄을 tuple로 보고 key와 관계가 중복, 식별, 결합을 어떻게 통제하는지 설명한다.	테이블을 엑셀 시트처럼만 보고 key와 무결성을 장식으로 취급하는 함정
DU04	foundations/02-relational-model-and-sql.md	SELECT 문이 논리적으로 처리되는 순서	20000	repo:database/query.md;source:postgresql-select	작은 SELECT를 FROM, WHERE, GROUP, HAVING, SELECT, ORDER 흐름으로 손으로 따라간다.	WHERE에서 SELECT alias를 당연히 쓸 수 있다고 생각하는 함정
DU05	foundations/03-sql-semantics-types-null-collation.md	NULL과 3-valued logic	20000	source:postgresql-comparison;source:mysql-comparison	NULL이 값이 아니라 모름/부재를 표현하면서 TRUE/FALSE/UNKNOWN을 만드는 과정을 truth table로 설명한다.	NOT IN과 NULL 조합으로 결과가 사라지는 함정
DU06	foundations/03-sql-semantics-types-null-collation.md	type, charset, collation, comparison	20000	repo:database/collation.md;repo:database/mysql/types/mysql_varchar.md;source:mysql-charset-collation	문자열이 byte, character set, collation을 거쳐 비교되는 과정을 실제 문자열 정렬 예시로 설명한다.	collation 차이 때문에 index, unique, 정렬 결과가 예상과 달라지는 함정
DU07	foundations/03-sql-semantics-types-null-collation.md	placeholder, escaping, prepared statement	20000	repo:database/placeholder.md;repo:database/prepared_statements.md;repo:database/quote_and_escape.md;source:jdbc-or-vendor	문자열 결합 SQL과 바인딩 SQL을 나란히 두고 파싱, 계획, 값 전달 경계를 설명한다.	escaping과 parameter binding을 같은 보안 장치로 착각하는 함정
DU08	storage-index-optimizer/04-storage-files-pages-rows.md	file, page, extent, row, tuple layout	20000	source:postgresql-storage;source:mysql-innodb-storage	row가 파일에 바로 붙는 것이 아니라 page와 record layout 안에 들어가는 과정을 ASCII page map으로 설명한다.	row 하나 수정이 파일 한 줄 수정이라고 생각하는 함정
DU09	storage-index-optimizer/04-storage-files-pages-rows.md	heap table, clustered table, row movement, vacuum/purge	20000	repo:database/mvcc.md;source:postgresql-vacuum;source:mysql-purge	PostgreSQL heap과 InnoDB clustered index를 대조하며 죽은 row/version이 언제 치워지는지 설명한다.	long transaction이 vacuum/purge를 막아 bloat/history list를 키우는 함정
DU10	storage-index-optimizer/05-buffer-pool-cache-io.md	buffer pool과 OS page cache	20000	source:mysql-buffer-pool;source:postgresql-buffer	같은 page가 DB buffer와 OS cache를 지나 CPU로 올라오는 흐름을 설명한다.	캐시 hit를 애플리케이션 캐시와 같은 의미로 오해하는 함정
DU11	storage-index-optimizer/05-buffer-pool-cache-io.md	random/sequential I/O, fsync, flush, checkpoint pressure	20000	source:postgresql-wal-config;source:mysql-flush-checkpoint	I/O pattern과 fsync가 commit latency, checkpoint spike, flush pressure로 연결되는 과정을 timeline으로 설명한다.	평소 빠른 쓰기만 보고 checkpoint 순간 지연을 놓치는 함정
DU12	storage-index-optimizer/06-wal-undo-redo-recovery.md	WAL/redo/undo를 값 변화 trace로 이해하기	20000	repo:database/mvcc.md;repo:database/replication.md;source:postgresql-wal;source:mysql-redo-undo	한 row update가 data page보다 log에 먼저 남는 이유를 crash trace로 설명한다.	WAL을 백업 파일이나 replication log와 같은 것으로 뭉개는 함정
DU13	storage-index-optimizer/06-wal-undo-redo-recovery.md	crash recovery, checkpoint, PITR	20000	source:postgresql-continuous-archiving;source:mysql-recovery	commit, checkpoint, crash, redo replay, PITR target time을 시간순으로 설명한다.	백업 성공과 복구 가능성을 같은 것으로 착각하는 함정
DU14	storage-index-optimizer/07-index-structures.md	B+tree 구조와 탐색/삽입/분할	20000	source:postgresql-indexes;source:mysql-innodb-index	B+tree page split을 손으로 따라가며 왜 범위 조회에 강한지 설명한다.	인덱스를 단순 hashmap처럼 생각해 range/order 비용을 놓치는 함정
DU15	storage-index-optimizer/07-index-structures.md	composite, covering, unique, partial/function index	20000	repo:database/mysql/order.md;source:postgresql-index-types;source:mysql-indexes	복합 인덱스의 앞쪽 열 규칙과 covering read를 실제 WHERE/ORDER BY로 설명한다.	복합 인덱스의 모든 열이 언제나 독립적으로 쓰인다고 믿는 함정
DU16	storage-index-optimizer/07-index-structures.md	LSM/hash/bitmap/search index와 RDBMS index 비교	20000	repo:database/elasticsearch/*;source:postgresql-index-types;source:elasticsearch-indexing	B+tree와 inverted index, LSM 계열의 쓰기/읽기 trade-off를 비교한다.	검색 엔진 index와 RDBMS index를 같은 자료구조로 취급하는 함정
